user_id,prc_10,prc_5,prc_3,ap_10,ap_5,ap_3,rr_10,rr_5,rr_3
41250,0.2,0.4,0.3333333333333333,0.2524603174603175,0.24666666666666667,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333
8484,0.3,0.0,0.0,0.06472222222222221,0.0,0.0,0.125,0.0,0.0
8485,0.4,0.6,0.6666666666666666,0.4303571428571429,0.4533333333333333,0.38888888888888884,0.5,0.5,0.5
41256,0.4,0.4,0.6666666666666666,0.40480158730158733,0.4133333333333333,0.38888888888888884,0.5,0.5,0.5
41257,0.1,0.2,0.3333333333333333,0.1428968253968254,0.15666666666666665,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333
8490,0.2,0.4,0.3333333333333333,0.2274603174603175,0.19666666666666666,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333
8492,0.4,0.2,0.0,0.2306349206349206,0.04,0.0,0.2,0.2,0.0
8493,0.3,0.2,0.3333333333333333,0.22440476190476186,0.15666666666666665,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333
8498,0.4,0.2,0.0,0.18023809523809523,0.04,0.0,0.2,0.2,0.0
41268,0.1,0.0,0.0,0.01,0.0,0.0,0.1,0.0,0.0
41270,0.3,0.2,0.3333333333333333,0.22857142857142856,0.15666666666666665,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333
41271,0.5,0.6,0.3333333333333333,0.42269841269841263,0.2866666666666666,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333
41272,0.3,0.4,0.6666666666666666,0.3569047619047619,0.4133333333333333,0.38888888888888884,0.5,0.5,0.5
41284,0.3,0.0,0.0,0.06472222222222221,0.0,0.0,0.125,0.0,0.0
41287,0.3,0.2,0.0,0.17023809523809524,0.04,0.0,0.2,0.2,0.0
41288,0.5,0.6,0.6666666666666666,0.47646825396825393,0.5033333333333333,0.38888888888888884,0.5,0.5,0.5
8522,0.4,0.2,0.3333333333333333,0.2076190476190476,0.15666666666666665,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333
8525,0.1,0.0,0.0,0.021111111111111112,0.0,0.0,0.1111111111111111,0.0,0.0
41294,0.1,0.2,0.3333333333333333,0.1428968253968254,0.15666666666666665,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333
8547,0.4,0.6,0.6666666666666666,0.44146825396825395,0.4533333333333333,0.38888888888888884,0.5,0.5,0.5
41317,0.3,0.6,0.6666666666666666,0.4203571428571428,0.4533333333333333,0.38888888888888884,0.5,0.5,0.5
8555,0.5,0.4,0.3333333333333333,0.398531746031746,0.24666666666666667,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333
41323,0.1,0.0,0.0,0.06456349206349207,0.0,0.0,0.16666666666666666,0.0,0.0
8558,0.6,0.8,0.6666666666666666,0.6114285714285714,0.5433333333333333,0.38888888888888884,0.5,0.5,0.5
41339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41347,0.2,0.2,0.0,0.11817460317460318,0.04,0.0,0.2,0.2,0.0
